rank,edits
1568,49310
1569,49292
1570,49271
1571,49241
1572,49232
1573,49187
1574,49173
1575,49168
1576,49104
1577,49090
1578,49080
1579,49005
1580,49003
1581,48975
1582,48926
1583,48909
1584,48908
1585,48873
1586,48792
1587,48774
1588,48756
1589,48731
1590,48708
1591,48707
1592,48696
1593,48691
1594,48648
1595,48607
1596,48601
1597,48580
1598,48546
1599,48538
1600,48504
1601,48461
1602,48429
1603,48412
1604,48356
1605,48312
1606,48232
1607,48193
1608,48192
1609,48145
1610,48127
1611,48094
1612,48050
1613,48032
1614,48026
1615,48011
1616,48006
1617,48005
1618,47992
1619,47980
1620,47959
1621,47934
1622,47928
1623,47859
1624,47858
1625,47847
1626,47831
1627,47783
1628,47768
1629,47752
1630,47703
1631,47678
1632,47674
1633,47662
1634,47649
1635,47648
1636,47637
1637,47626
1638,47613
1639,47530
1640,47493
1641,47489
1642,47471
1643,47470
1644,47462
1645,47443
1646,47387
1647,47376
1648,47334
1649,47310
1650,47303
1651,47300
1652,47271
1653,47248
1654,47223
1655,47216
1656,47205
1657,47159
1658,47155
1659,47134
1660,47123
1661,47078
1662,47052
1663,47044
1664,47041
1665,47023
1666,47016
1667,47010
1668,46995
1669,46969
1670,46959
1671,46951
1672,46941
1673,46937
1674,46928
1675,46902
1676,46881
1677,46836
1678,46822
1679,46821
1680,46818
1681,46809
1682,46798
1683,46766
1684,46713
1685,46712
1686,46708
1687,46692
1688,46683
1689,46644
1690,46638
1691,46576
1692,46554
1693,46543
1694,46501
1695,46463
1696,46448
1697,46428
1698,46414
1699,46400
1700,46356
1701,46274
1702,46264
1703,46223
1704,46115
1705,46074
1706,46073
1707,46057
1708,46024
1709,46023
1710,46021
1711,46005
1712,46004
1713,45998
1714,45980
1715,45975
1716,45972
1717,45967
1718,45946
1719,45851
1720,45826
1721,45798
1722,45789
1723,45787
1724,45783
1725,45729
1726,45721
1727,45715
1728,45700
1729,45613
1730,45594
1731,45579
1732,45575
1733,45565
1734,45560
1735,45541
1736,45531
1737,45450
1738,45447
1739,45435
1740,45421
1741,45408
1742,45407
1743,45346
1744,45334
1745,45314
1746,45252
1747,45249
1748,45246
1749,45237
1750,45236
1751,45216
1752,45201
1753,45180
1754,45177
1755,45174
1756,45145
1757,45133
1758,45119
1759,45103
1760,45098
1761,45075
1762,45040
1763,45035
1764,45025
1765,44994
1766,44971
1767,44952
1768,44947
1769,44831
1770,44828
1771,44778
1772,44776
1773,44759
1774,44758
1775,44753
1776,44687
1777,44659
1778,44651
1779,44597
1780,44560
1781,44555
1782,44498
1783,44489
1784,44482
1785,44477
1786,44472
1787,44471
1788,44453
1789,44441
1790,44429
1791,44405
1792,44396
1793,44344
1794,44332
1795,44265
1796,44251
1797,44229
1798,44229
1799,44218
1800,44181
1801,44179
1802,44176
1803,44154
1804,44137
1805,44135
1806,44113
1807,44099
